,country_code,country_name,country_border_code,country_border_name
0,AND,Andorra,FRA,France
1,AND,Andorra,ESP,Spain
12,ALB,Albania,GRC,Greece
13,ALB,Albania,MNE,Montenegro
14,ALB,Albania,MKD,North Macedonia
15,ALB,Albania,SRB,Serbia
31,AUT,Austria,CZE,Czechia
32,AUT,Austria,DEU,Germany
33,AUT,Austria,HUN,Hungary
34,AUT,Austria,ITA,Italy
35,AUT,Austria,LIE,Liechtenstein
36,AUT,Austria,SVK,Slovakia
37,AUT,Austria,SVN,Slovenia
38,AUT,Austria,CHE,Switzerland
43,AZE,Azerbaijan,GEO,Georgia
45,AZE,Azerbaijan,RUS,Russian Federation
46,AZE,Azerbaijan,TUR,Turkey
47,BIH,Bosnia and Herzegovina,HRV,Croatia
48,BIH,Bosnia and Herzegovina,MNE,Montenegro
49,BIH,Bosnia and Herzegovina,SRB,Serbia
53,BEL,Belgium,FRA,France
54,BEL,Belgium,DEU,Germany
55,BEL,Belgium,LUX,Luxembourg
56,BEL,Belgium,NLD,Netherlands
63,BGR,Bulgaria,GRC,Greece
64,BGR,Bulgaria,MKD,North Macedonia
65,BGR,Bulgaria,ROU,Romania
66,BGR,Bulgaria,SRB,Serbia
67,BGR,Bulgaria,TUR,Turkey
103,BLR,Belarus,LVA,Latvia
104,BLR,Belarus,LTU,Lithuania
105,BLR,Belarus,POL,Poland
106,BLR,Belarus,RUS,Russian Federation
107,BLR,Belarus,UKR,Ukraine
132,CHE,Switzerland,AUT,Austria
133,CHE,Switzerland,FRA,France
134,CHE,Switzerland,DEU,Germany
135,CHE,Switzerland,ITA,Italy
136,CHE,Switzerland,LIE,Liechtenstein
180,CZE,Czechia,AUT,Austria
181,CZE,Czechia,DEU,Germany
182,CZE,Czechia,POL,Poland
183,CZE,Czechia,SVK,Slovakia
184,DEU,Germany,AUT,Austria
185,DEU,Germany,BEL,Belgium
186,DEU,Germany,CZE,Czechia
187,DEU,Germany,DNK,Denmark
188,DEU,Germany,FRA,France
189,DEU,Germany,LUX,Luxembourg
190,DEU,Germany,NLD,Netherlands
191,DEU,Germany,POL,Poland
192,DEU,Germany,CHE,Switzerland
196,DNK,Denmark,DEU,Germany
208,EST,Estonia,LVA,Latvia
209,EST,Estonia,RUS,Russian Federation
220,ESP,Spain,AND,Andorra
221,ESP,Spain,FRA,France
222,ESP,Spain,GIB,Gibraltar
224,ESP,Spain,PRT,Portugal
231,FIN,Finland,NOR,Norway
232,FIN,Finland,RUS,Russian Federation
233,FIN,Finland,SWE,Sweden
238,FRA,France,AND,Andorra
239,FRA,France,BEL,Belgium
240,FRA,France,DEU,Germany
241,FRA,France,ITA,Italy
242,FRA,France,LUX,Luxembourg
243,FRA,France,MCO,Monaco
244,FRA,France,ESP,Spain
245,FRA,France,CHE,Switzerland
249,GBR,United Kingdom of Great Britain and Northern Ireland,IRL,Ireland
252,GEO,Georgia,AZE,Azerbaijan
253,GEO,Georgia,RUS,Russian Federation
254,GEO,Georgia,TUR,Turkey
261,GIB,Gibraltar,ESP,Spain
