,routeid,routestring,weight_of_route,route_flow,order
5,6865894,AZE,9.0,AZETUR,1
5,6865894,RUS,9.0,AZETUR,2
5,6865894,BLR,9.0,AZETUR,3
5,6865894,UKR,9.0,AZETUR,4
5,6865894,ROU,9.0,AZETUR,5
5,6865894,BGR,9.0,AZETUR,6
5,6865894,TUR,9.0,AZETUR,7
6,7057608,BGR,4.5,BGRPOL,1
6,7057608,ROU,4.5,BGRPOL,2
6,7057608,UKR,4.5,BGRPOL,3
6,7057608,BLR,4.5,BGRPOL,4
6,7057608,POL,4.5,BGRPOL,5
6,7110399,BGR,6.0,BGRSWE,1
6,7110399,ROU,6.0,BGRSWE,2
6,7110399,UKR,6.0,BGRSWE,3
6,7110399,BLR,6.0,BGRSWE,4
6,7110399,RUS,6.0,BGRSWE,5
6,7110399,FIN,6.0,BGRSWE,6
6,7110399,SWE,6.0,BGRSWE,7
8,7110421,BGR,7.0,BGRSWE,1
8,7110421,ROU,7.0,BGRSWE,2
8,7110421,UKR,7.0,BGRSWE,3
8,7110421,BLR,7.0,BGRSWE,4
8,7110421,RUS,7.0,BGRSWE,5
8,7110421,NOR,7.0,BGRSWE,6
8,7110421,SWE,7.0,BGRSWE,7
0,7155869,BLR,3.5,BLRAUT,1
0,7155869,UKR,3.5,BLRAUT,2
0,7155869,SVK,3.5,BLRAUT,3
0,7155869,AUT,3.5,BLRAUT,4
1,7153307,BLR,2.0,BLRAUT,1
1,7153307,POL,2.0,BLRAUT,2
1,7153307,DEU,2.0,BLRAUT,3
1,7153307,AUT,2.0,BLRAUT,4
2,7153306,BLR,2.25,BLRAUT,1
2,7153306,POL,2.25,BLRAUT,2
2,7153306,CZE,2.25,BLRAUT,3
2,7153306,AUT,2.25,BLRAUT,4
3,7153798,BLR,2.25,BLRAUT,1
3,7153798,POL,2.25,BLRAUT,2
3,7153798,SVK,2.25,BLRAUT,3
3,7153798,AUT,2.25,BLRAUT,4
4,7155086,BLR,3.5,BLRAUT,1
4,7155086,UKR,3.5,BLRAUT,2
4,7155086,HUN,3.5,BLRAUT,3
4,7155086,AUT,3.5,BLRAUT,4
5,7153799,BLR,3.75,BLRAUT,1
5,7153799,POL,3.75,BLRAUT,2
5,7153799,UKR,3.75,BLRAUT,3
5,7153799,HUN,3.75,BLRAUT,4
5,7153799,AUT,3.75,BLRAUT,5
6,7152678,BLR,2.25,BLRAUT,1
6,7152678,LTU,2.25,BLRAUT,2
6,7152678,POL,2.25,BLRAUT,3
6,7152678,DEU,2.25,BLRAUT,4
6,7152678,AUT,2.25,BLRAUT,5
7,7152792,BLR,2.5,BLRAUT,1
7,7152792,LTU,2.5,BLRAUT,2
7,7152792,POL,2.5,BLRAUT,3
7,7152792,SVK,2.5,BLRAUT,4
7,7152792,AUT,2.5,BLRAUT,5
8,7154097,BLR,3.75,BLRAUT,1
8,7154097,POL,3.75,BLRAUT,2
8,7154097,UKR,3.75,BLRAUT,3
8,7154097,SVK,3.75,BLRAUT,4
8,7154097,AUT,3.75,BLRAUT,5
9,7154753,BLR,3.75,BLRAUT,1
9,7154753,RUS,3.75,BLRAUT,2
9,7154753,POL,3.75,BLRAUT,3
9,7154753,DEU,3.75,BLRAUT,4
9,7154753,AUT,3.75,BLRAUT,5
0,7157623,BLR,2.25,BLRCZE,1
0,7157623,POL,2.25,BLRCZE,2
0,7157623,CZE,2.25,BLRCZE,3
1,7159986,BLR,3.75,BLRCZE,1
1,7159986,UKR,3.75,BLRCZE,2
1,7159986,POL,3.75,BLRCZE,3
1,7159986,CZE,3.75,BLRCZE,4
2,7158363,BLR,4.0,BLRCZE,1
2,7158363,RUS,4.0,BLRCZE,2
2,7158363,POL,4.0,BLRCZE,3
2,7158363,CZE,4.0,BLRCZE,4
3,7160843,BLR,3.75,BLRCZE,1
3,7160843,UKR,3.75,BLRCZE,2
3,7160843,SVK,3.75,BLRCZE,3
3,7160843,CZE,3.75,BLRCZE,4
4,7157066,BLR,2.5,BLRCZE,1
4,7157066,LTU,2.5,BLRCZE,2
4,7157066,POL,2.5,BLRCZE,3
4,7157066,CZE,2.5,BLRCZE,4
5,7157299,BLR,4.25,BLRCZE,1
5,7157299,LTU,4.25,BLRCZE,2
5,7157299,RUS,4.25,BLRCZE,3
5,7157299,POL,4.25,BLRCZE,4
5,7157299,CZE,4.25,BLRCZE,5
6,7158788,BLR,5.5,BLRCZE,1
6,7158788,RUS,5.5,BLRCZE,2
6,7158788,UKR,5.5,BLRCZE,3
6,7158788,POL,5.5,BLRCZE,4
6,7158788,CZE,5.5,BLRCZE,5
7,7156489,BLR,4.25,BLRCZE,1
7,7156489,LVA,4.25,BLRCZE,2
7,7156489,RUS,4.25,BLRCZE,3
7,7156489,POL,4.25,BLRCZE,4
7,7156489,CZE,4.25,BLRCZE,5
8,7158362,BLR,4.25,BLRCZE,1
8,7158362,RUS,4.25,BLRCZE,2
8,7158362,LTU,4.25,BLRCZE,3
8,7158362,POL,4.25,BLRCZE,4
8,7158362,CZE,4.25,BLRCZE,5
9,7159069,BLR,5.5,BLRCZE,1
9,7159069,RUS,5.5,BLRCZE,2
9,7159069,UKR,5.5,BLRCZE,3
9,7159069,SVK,5.5,BLRCZE,4
9,7159069,CZE,5.5,BLRCZE,5
0,7162886,BLR,2.0,BLRDEU,1
0,7162886,POL,2.0,BLRDEU,2
0,7162886,DEU,2.0,BLRDEU,3
1,7162249,BLR,2.25,BLRDEU,1
1,7162249,LTU,2.25,BLRDEU,2
1,7162249,POL,2.25,BLRDEU,3
1,7162249,DEU,2.25,BLRDEU,4
2,7162885,BLR,2.25,BLRDEU,1
2,7162885,POL,2.25,BLRDEU,2
2,7162885,CZE,2.25,BLRDEU,3
2,7162885,DEU,2.25,BLRDEU,4
3,7165408,BLR,3.5,BLRDEU,1
3,7165408,UKR,3.5,BLRDEU,2
3,7165408,POL,3.5,BLRDEU,3
3,7165408,DEU,3.5,BLRDEU,4
4,7163652,BLR,3.75,BLRDEU,1
4,7163652,RUS,3.75,BLRDEU,2
4,7163652,POL,3.75,BLRDEU,3
4,7163652,DEU,3.75,BLRDEU,4
5,7161543,BLR,4.0,BLRDEU,1
5,7161543,LVA,4.0,BLRDEU,2
5,7161543,RUS,4.0,BLRDEU,3
5,7161543,POL,4.0,BLRDEU,4
5,7161543,DEU,4.0,BLRDEU,5
6,7166574,BLR,3.75,BLRDEU,1
6,7166574,UKR,3.75,BLRDEU,2
6,7166574,SVK,3.75,BLRDEU,3
6,7166574,POL,3.75,BLRDEU,4
6,7166574,DEU,3.75,BLRDEU,5
7,7162484,BLR,4.0,BLRDEU,1
7,7162484,LTU,4.0,BLRDEU,2
7,7162484,RUS,4.0,BLRDEU,3
7,7162484,POL,4.0,BLRDEU,4
7,7162484,DEU,4.0,BLRDEU,5
8,7163651,BLR,4.0,BLRDEU,1
8,7163651,RUS,4.0,BLRDEU,2
8,7163651,POL,4.0,BLRDEU,3
8,7163651,CZE,4.0,BLRDEU,4
8,7163651,DEU,4.0,BLRDEU,5
9,7162884,BLR,2.25,BLRDEU,1
9,7162884,POL,2.25,BLRDEU,2
9,7162884,CZE,2.25,BLRDEU,3
9,7162884,AUT,2.25,BLRDEU,4
9,7162884,DEU,2.25,BLRDEU,5
0,7183106,BLR,7.0,BLRGRC,1
0,7183106,RUS,7.0,BLRGRC,2
0,7183106,GEO,7.0,BLRGRC,3
0,7183106,TUR,7.0,BLRGRC,4
0,7183106,GRC,7.0,BLRGRC,5
1,7192610,BLR,4.75,BLRGRC,1
1,7192610,UKR,4.75,BLRGRC,2
1,7192610,ROU,4.75,BLRGRC,3
1,7192610,BGR,4.75,BLRGRC,4
1,7192610,GRC,4.75,BLRGRC,5
2,7183027,BLR,7.0,BLRGRC,1
2,7183027,RUS,7.0,BLRGRC,2
2,7183027,AZE,7.0,BLRGRC,3
2,7183027,TUR,7.0,BLRGRC,4
2,7183027,GRC,7.0,BLRGRC,5
3,7182196,BLR,5.0,BLRGRC,1
3,7182196,POL,5.0,BLRGRC,2
3,7182196,UKR,5.0,BLRGRC,3
3,7182196,ROU,5.0,BLRGRC,4
3,7182196,BGR,5.0,BLRGRC,5
3,7182196,GRC,5.0,BLRGRC,6
4,7168740,BLR,7.25,BLRGRC,1
4,7168740,LVA,7.25,BLRGRC,2
4,7168740,RUS,7.25,BLRGRC,3
4,7168740,AZE,7.25,BLRGRC,4
4,7168740,TUR,7.25,BLRGRC,5
4,7168740,GRC,7.25,BLRGRC,6
5,7168744,BLR,7.25,BLRGRC,1
5,7168744,LVA,7.25,BLRGRC,2
5,7168744,RUS,7.25,BLRGRC,3
5,7168744,GEO,7.25,BLRGRC,4
5,7168744,TUR,7.25,BLRGRC,5
5,7168744,GRC,7.25,BLRGRC,6
6,7179338,BLR,7.25,BLRGRC,1
6,7179338,POL,7.25,BLRGRC,2
6,7179338,RUS,7.25,BLRGRC,3
6,7179338,AZE,7.25,BLRGRC,4
6,7179338,TUR,7.25,BLRGRC,5
6,7179338,GRC,7.25,BLRGRC,6
7,7174173,BLR,7.25,BLRGRC,1
7,7174173,LTU,7.25,BLRGRC,2
7,7174173,RUS,7.25,BLRGRC,3
7,7174173,AZE,7.25,BLRGRC,4
7,7174173,TUR,7.25,BLRGRC,5
7,7174173,GRC,7.25,BLRGRC,6
8,7179342,BLR,7.25,BLRGRC,1
8,7179342,POL,7.25,BLRGRC,2
8,7179342,RUS,7.25,BLRGRC,3
8,7179342,GEO,7.25,BLRGRC,4
8,7179342,TUR,7.25,BLRGRC,5
8,7179342,GRC,7.25,BLRGRC,6
9,7183026,BLR,7.5,BLRGRC,1
9,7183026,RUS,7.5,BLRGRC,2
