,country_iso,gci_index,cp_index,fs_index,modslave_per_1000,vul_modslave,gov_response_modslave,mip_index,surface_area,population_1000,population_dense,employed_agriculture,employed_industry,employed_services,unemployed,migrant_stock_1000,ref_ooc_1000,labour_part_f,labour_part_m,node_type,in_eu,cluster
1,ALB,4.184990872658806,39.0,61.2,6.870871920620402,45.20089497142935,59.88095238095238,43.0,28748,2930.0,106.9,41.4,18.3,40.3,15.8,57.6,8.8,40.2,61.0,both,0,3
3,AUT,5.246649090821121,75.0,27.5,1.7380057127666169,3.3548825781591547,63.0952380952381,46.0,83871,8736.0,106.0,4.7,25.6,69.7,6.2,1492.4,166.4,54.6,65.8,destination,1,1
4,BLR,4.717059884392492,40.0,73.9,10.877024267766775,47.27563395444991,40.11904761904761,52.361111111111114,207600,9468.0,46.7,9.6,32.0,58.4,0.5,1082.9,7.9,54.0,67.8,both,0,0
5,BEL,5.225063073772792,77.0,29.0,2.0268924667441137,13.05497583485535,68.33333333333333,69.0,30528,11429.0,377.5,1.2,21.2,77.6,8.3,1387.9,63.8,48.1,58.9,destination,1,1
6,BIH,3.8687275099182337,39.0,74.6,3.422193760620262,46.356697623416736,48.63095238095238,52.361111111111114,51209,3507.0,68.8,18.0,30.4,51.7,25.4,34.8,157.6,34.3,57.5,both,0,3
7,BGR,4.46319380259429,41.0,53.7,4.464942239100777,31.34220764766163,55.833333333333336,40.0,111002,7085.0,65.3,6.5,29.4,64.1,8.1,102.1,33.7,48.5,60.1,both,1,3
8,HRV,4.190615647607065,49.0,52.4,5.992110893607282,32.69527415960411,68.1547619047619,39.0,56594,4189.0,74.9,9.2,26.8,64.0,11.7,576.9,15.5,46.3,58.4,neither,1,3
9,CZE,4.774469863037465,55.0,40.8,2.8814506088118885,19.074159142467614,52.916666666666664,50.0,78868,10618.0,137.5,2.5,37.0,60.5,3.9,405.1,6.0,51.3,67.8,destination,1,2
10,DNK,5.390740833921608,90.0,21.5,1.6266624477889537,0.9999999999999755,58.57142857142856,48.0,42921,5734.0,135.1,2.4,19.2,78.4,6.0,572.5,48.2,58.1,66.0,destination,1,1
11,EST,4.849882276279513,70.0,43.4,3.596110050693289,29.24398995970826,48.80952380952381,50.0,45227,1310.0,30.9,3.8,29.0,67.3,7.2,202.3,84.2,55.4,69.4,neither,1,2
13,FIN,5.4894045595332805,89.0,18.8,1.6543508741374977,8.231459793210426,57.91666666666667,85.0,338440,5523.0,18.2,4.2,22.0,73.8,8.9,315.9,32.6,54.5,61.7,destination,1,1
