,routeid,routestring,weight_of_route,route_flow,order
4,7337870,HUN,0.25,HUNNLD,1
4,7337870,AUT,0.25,HUNNLD,2
4,7337870,DEU,0.25,HUNNLD,3
4,7337870,BEL,0.25,HUNNLD,4
4,7337870,NLD,0.25,HUNNLD,5
0,7302215,HUN,0.25,HUNDEU,1
0,7302215,AUT,0.25,HUNDEU,2
0,7302215,DEU,0.25,HUNDEU,3
0,7489876,PRT,0.25,PRTESP,1
0,7489876,ESP,0.25,PRTESP,2
0,7489875,POL,0.25,POLDEU,1
0,7489875,DEU,0.25,POLDEU,2
1,7576777,ROU,0.75,ROUDEU,1
1,7576777,HUN,0.75,ROUDEU,2
1,7576777,AUT,0.75,ROUDEU,3
1,7576777,DEU,0.75,ROUDEU,4
1,7511899,ROU,0.75,ROUBEL,1
1,7511899,HUN,0.75,ROUBEL,2
1,7511899,AUT,0.75,ROUBEL,3
1,7511899,DEU,0.75,ROUBEL,4
1,7511899,BEL,0.75,ROUBEL,5
0,7795188,ROU,0.75,ROUNLD,1
0,7795188,HUN,0.75,ROUNLD,2
0,7795188,AUT,0.75,ROUNLD,3
0,7795188,DEU,0.75,ROUNLD,4
0,7795188,NLD,0.75,ROUNLD,5
1,7585798,ROU,0.75,ROUDNK,1
1,7585798,HUN,0.75,ROUDNK,2
1,7585798,AUT,0.75,ROUDNK,3
1,7585798,DEU,0.75,ROUDNK,4
1,7585798,DNK,0.75,ROUDNK,5
2,7570981,ROU,1.0,ROUCZE,1
2,7570981,HUN,1.0,ROUCZE,2
2,7570981,AUT,1.0,ROUCZE,3
2,7570981,CZE,1.0,ROUCZE,4
0,7751439,ROU,1.0,ROUITA,1
0,7751439,HUN,1.0,ROUITA,2
0,7751439,AUT,1.0,ROUITA,3
0,7751439,ITA,1.0,ROUITA,4
0,7526033,ROU,1.0,ROUBGR,1
0,7526033,BGR,1.0,ROUBGR,2
1,7861917,ROU,1.0,ROUPRT,1
1,7861917,HUN,1.0,ROUPRT,2
1,7861917,AUT,1.0,ROUPRT,3
1,7861917,DEU,1.0,ROUPRT,4
1,7861917,FRA,1.0,ROUPRT,5
1,7861917,ESP,1.0,ROUPRT,6
1,7861917,PRT,1.0,ROUPRT,7
4,7609132,ROU,1.0,ROUESP,1
4,7609132,HUN,1.0,ROUESP,2
4,7609132,AUT,1.0,ROUESP,3
4,7609132,DEU,1.0,ROUESP,4
4,7609132,FRA,1.0,ROUESP,5
4,7609132,ESP,1.0,ROUESP,6
0,7002569,BGR,1.0,BGRGRC,1
0,7002569,GRC,1.0,BGRGRC,2
0,6886066,BGR,1.25,BGRAUT,1
0,6886066,ROU,1.25,BGRAUT,2
0,6886066,HUN,1.25,BGRAUT,3
0,6886066,AUT,1.25,BGRAUT,4
0,6947138,BGR,1.25,BGRDEU,1
